CFTC_Contract_Market_Code,Report_Date_as_YYYY-MM-DD,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All
209742,2013-03-26,348334,8211,245646,150177,34159,144862,37599
209742,2013-04-02,377618,8072,270186,157929,27858,164336,46848
209742,2013-04-09,351702,9484,239864,151698,28147,139821,42644
209742,2013-04-16,368562,15371,258822,160570,27971,144623,43972
209742,2013-04-23,353662,18876,244471,156758,27770,128352,39332
209742,2013-04-30,390625,16376,278817,157983,26066,166671,38749
209742,2013-05-07,409077,17048,281509,168647,30951,166233,41713
209742,2013-05-14,413475,18848,283007,174046,31222,163739,41113
209742,2013-05-21,418325,20840,290891,174882,30092,161929,37219
209742,2013-05-28,436070,19442,317844,194746,30258,167229,34535
209742,2013-06-04,430036,21654,308362,194583,26264,154647,33902
209742,2013-06-11,389245,27304,268206,174052,25690,128904,34474
209742,2013-06-18,457197,26719,271475,168909,25667,138164,38674
209742,2013-06-25,300143,10058,205831,152073,25365,90773,26922
209742,2013-07-02,307520,11306,208358,159336,25449,96382,31927
209742,2013-07-09,320019,6824,219088,158938,25892,107484,32322
209742,2013-07-16,366666,5396,251783,176782,25032,134682,38708
209742,2013-07-23,396217,7749,280347,176869,24457,161524,41367
209742,2013-07-30,398917,6781,281865,176365,22191,168109,39375
209742,2013-08-06,405851,7157,290087,176973,21357,172816,39543
209742,2013-08-13,419004,8932,304425,190907,21365,168362,41991
209742,2013-08-20,387693,8663,280181,181630,23172,146660,31198
209742,2013-08-27,368216,9401,256173,168822,23455,144546,33354
209742,2013-09-03,350631,8446,238072,155516,23798,139448,33224
209742,2013-09-10,359909,11803,239975,158499,22795,136924,34127
209742,2013-09-17,463690,14633,260353,166814,28733,155024,38401
209742,2013-09-24,391382,10546,314129,178001,20363,157644,25825
209742,2013-10-01,401871,9446,315879,178688,23823,167474,26518
209742,2013-10-08,378129,11446,291882,169181,23455,148714,29685
209742,2013-10-15,369896,8601,292994,172091,22440,143859,25186
209742,2013-10-22,367286,8336,280679,179557,21934,134707,25057
209742,2013-10-29,394689,11845,304012,194906,21474,142704,28290
209742,2013-11-05,420610,18629,334725,196592,18441,157383,25658
209742,2013-11-12,397285,13687,311221,192099,18660,145457,30484
209742,2013-11-19,397534,19427,316369,188572,18138,143154,20838
209742,2013-11-26,411044,22475,320661,186841,18411,157146,28153
209742,2013-12-03,429079,26120,329489,193043,18375,161066,33883
209742,2013-12-10,423461,31430,323069,186318,17841,147951,24248
209742,2013-12-17,517013,30778,345197,190054,17795,159284,28297
209742,2013-12-24,413523,56608,334741,187667,17643,124676,30153
209742,2013-12-31,419637,63364,339856,192552,17677,121231,30400
209742,2014-01-07,432342,66403,310932,191423,18417,126031,58989
209742,2014-01-14,431180,58887,288789,189439,19128,133083,67188
209742,2014-01-21,423596,56967,340606,187883,18437,125500,24489
209742,2014-01-28,428422,50838,337115,185737,24327,132943,31273
209742,2014-02-04,397238,51285,306446,170868,22159,115081,29902
209742,2014-02-11,405971,54516,301570,186415,20056,108553,39432
209742,2014-02-18,436373,59240,317738,188384,20958,127133,41745
209742,2014-02-25,460568,60120,343793,188005,20573,151345,45612
209742,2014-03-04,475074,60196,359001,200581,19648,155368,47880
209742,2014-03-11,467493,66552,349047,197280,19692,138640,43420
209742,2014-03-18,545159,68981,344632,184297,20438,143388,46260
209742,2014-03-25,378710,26742,279197,187565,20263,113920,44795
209742,2014-04-01,366668,24278,267903,171128,21777,112830,44581
209742,2014-04-08,371802,30870,234734,162506,23090,103499,81345
209742,2014-04-15,350529,35784,213881,153394,31130,93076,66279
209742,2014-04-22,328921,31431,180711,147991,34282,79772,72382
209742,2014-04-29,348922,31548,186600,145082,41523,94052,79383
209742,2014-05-06,347676,29319,177204,137647,42986,101001,84313
209742,2014-05-13,361384,32622,177300,139004,41524,102228,98618
209742,2014-05-20,353944,37001,170012,138639,40370,89694,99749
209742,2014-05-27,350156,35288,176832,143862,31842,101001,86762
209742,2014-06-03,368538,32907,188726,145775,33042,106384,83563
209742,2014-06-10,364774,36369,191414,146562,33050,96019,65948
209742,2014-06-17,479145,40418,203856,147798,33911,102888,61876
209742,2014-06-24,342676,25893,209474,177620,29501,92081,47198
209742,2014-07-01,358922,25485,205766,181561,29601,93115,60376
209742,2014-07-08,360969,24760,215268,190012,28291,90868,59461
209742,2014-07-15,358224,25563,211973,193512,26336,87887,60807
209742,2014-07-22,362936,27820,221834,187806,25917,97055,55854
209742,2014-07-29,373435,29684,226163,193913,26566,100711,60879
209742,2014-08-05,361091,29137,216697,180813,28366,99770,58119
209742,2014-08-12,344332,33350,203290,165934,33906,94897,50534
209742,2014-08-19,358871,38470,201533,165671,30160,92649,67922
209742,2014-08-26,360386,34630,195242,158799,29602,104380,69566
209742,2014-09-02,367413,35399,200815,165571,29927,103600,70277
209742,2014-09-09,365790,30311,201721,165329,29118,103196,64405
209742,2014-09-16,507516,27154,209328,164470,29438,113286,71385
209742,2014-09-23,377838,19703,242223,188210,29905,115850,45963
209742,2014-09-30,378107,14802,245288,182728,30451,125818,45632
209742,2014-10-07,375071,17309,245476,177633,34956,130376,39618
209742,2014-10-14,365555,20539,228798,174435,32419,119195,53214
