Fecha,Signo,Cantidad_USD,NAV,Cambio_%,AUM
2014-10-03,Salida,-612549000.0,98.23,1.028489,40787985000.0
2014-10-06,Salida,-166991000.0,97.96,-0.274865,41040494000.0
2014-10-07,Salida,-646536000.0,96.56,-1.429155,40281152000.0
2014-10-08,Entrada,67592000.0,98.57,2.081607,39773064000.0
2014-10-09,Salida,-1020199500.0,96.82,-1.775388,39580783500.0
2014-10-10,Entrada,764878000.0,94.42,-2.478827,39642949000.0
2014-10-13,Salida,-613730000.0,92.89,-1.620419,38046539000.0
2014-10-14,Salida,-812787500.0,92.95,0.064593,36617238000.0
2014-10-15,Entrada,195195000.0,92.36,-0.63475,36836085000.0
2014-10-16,Salida,-115450000.0,91.85,-0.552187,36486818000.0
2014-10-17,Salida,-946055000.0,93.08,1.33914,35339287500.0
2014-10-20,Entrada,465400000.0,94.41,1.428878,36277930000.0
2014-10-21,Salida,-1019628000.0,96.88,2.616248,35776669500.0
2014-10-22,Salida,-397208000.0,96.35,-0.547069,36315468000.0
2014-10-23,Entrada,737077500.0,97.87,1.577582,36853875000.0
2014-10-24,Entrada,166379000.0,98.6,0.745887,37601654000.0
2014-10-27,Entrada,29580000.0,98.69,0.091278,37911700000.0
2014-10-28,Entrada,266463000.0,100.17,1.499645,38212768000.0
2014-10-29,Entrada,75127500.0,99.79,-0.379355,38860951500.0
2014-10-30,Salida,0.0,100.04,0.250526,38713530500.0
2014-10-31,Salida,0.0,101.44,1.39944,38810518000.0
2014-11-03,Entrada,1120912000.0,101.71,0.266167,40474560000.0
2014-11-04,Entrada,971330500.0,101.39,-0.31462,41553620500.0
2014-11-05,Entrada,420768500.0,101.34,-0.049315,41843653000.0
2014-11-06,Salida,-30402000.0,101.67,0.325636,41792616000.0
2014-11-07,Entrada,259258500.0,101.59,-0.078686,42187966500.0
2014-11-10,Entrada,269213500.0,101.98,0.384142,42423984000.0
2014-11-11,Salida,-10198025.0,102.25,0.267571,42576754375.0
2014-11-12,Entrada,76689840.0,102.46,0.202194,42767367440.0
2014-11-13,Salida,-40983948.0,102.9,0.431925,42812856679.5
2014-11-14,Entrada,133773146.0,103.18,0.27082,43131549343.0
2014-11-17,Entrada,134135430.0,102.91,-0.265087,43382493495.0
2014-11-18,Entrada,133779854.0,103.66,0.73464,43401271865.0
2014-11-19,Entrada,41465432.0,103.19,-0.458676,43761580297.0
2014-11-20,Entrada,15478215.0,103.67,0.467486,43576334630.0
2014-11-21,Entrada,186606882.0,103.89,0.215471,43966654809.0
2014-11-24,Entrada,363628545.0,104.7,0.776283,44425018812.0
2014-11-25,Entrada,15705057.0,104.8,0.090506,44785587545.0
2014-11-26,Entrada,73356598.0,105.53,0.70343,44899477733.0
2014-11-27,Salida,0.0,105.53,0.0,44899477733.0
2014-11-28,Salida,-26383075.0,106.01,0.455406,45188930860.0
2014-12-01,Salida,-106012900.0,104.8,-1.143719,45288710880.0
2014-12-02,Entrada,335361312.0,105.24,0.421363,45106096464.0
2014-12-03,Entrada,52621000.0,105.41,0.163233,45348777800.0
2014-12-04,Salida,-1048867210.5,105.39,-0.023707,44373934900.5
2014-12-05,Salida,-163352640.0,105.38,-0.009916,44200062720.0
2014-12-08,Salida,-389899895.0,104.57,-0.768052,43805780095.0
2014-12-09,Salida,-481017354.0,104.97,0.379902,42988311789.0
2014-12-10,Salida,-283408875.0,103.27,-1.615586,42868216500.0
2014-12-11,Salida,-382100591.0,103.8,0.514755,41793543021.0
2014-12-12,Salida,-119372323.0,102.65,-1.10916,41889305171.0
2014-12-15,Salida,-590241467.5,101.63,-0.994158,40834444482.0
2014-12-16,Salida,-147363761.0,99.98,-1.625964,40281121843.0
2014-12-17,Entrada,319928672.0,101.82,1.84073,39946094030.5
2014-12-18,Salida,-870544156.5,104.32,2.455744,39810849730.0
2014-12-19,Salida,-631126441.0,104.27,-0.044537,40157375779.0
2014-12-22,Entrada,224184714.0,104.56,0.277237,40363675716.0
2014-12-23,Entrada,575085720.0,104.22,-0.327082,41050664304.0
2014-12-24,Entrada,359555688.0,104.31,0.087623,41275950792.0
